0 1 020 4.16 06 06 09
2    2 14 12 10 17 18 13 75   0.247   0.0013  11.07  12.00  -1.00 325913 405852
3 14 12 10 17 17 53 14 10 191.38 157.51 0.998 0.999   0.236   0.0013  10.94  12.01
4    1 334061 416295
4    2 332557 414355
4    3 329833 411065
4    4 327683 408568
4    5 325889 405876
4    6 327877 408471
4    7 329898 411098
4    8 332129 413789
4    9 334206 416311
4   10 325913 405852
1 14 12 10 17 18 47 38    2    0 305.70 306.76 261.21 251.22 191.20 157.58 457759 554211 558624 648278
2    1 14 12 10 17 18 47 38   0.231   0.0013  10.89  12.02  -1.00 325889 405811
2    2 14 12 10 17 19 07 70   0.228   0.0014  10.89  12.09  -1.00 325889 405852
3 14 12 10 17 18 47 38 10 191.09 157.60 0.998 0.998   0.235   0.0014  10.97  12.06
4    1 334077 416238
4    2 332557 414476
4    3 329801 411025
4    4 327659 408584
4    5 325889 405811
4    6 327877 408414
4    7 329914 411098
4    8 332137 413789
4    9 334231 416376
4   10 325889 405852
1 14 12 10 17 19 39 89    2    0 305.70 306.77 261.22 251.17 191.20 157.58 457735 554268 558608 648262
2    1 14 12 10 17 19 39 89   0.241   0.0013  11.02  12.02  -1.00 325929 405868
2    2 14 12 10 17 19 59 72   0.237   0.0014  11.00  12.08  -1.00 325921 405900
3 14 12 10 17 19 39 89 10 191.18 157.50 0.998 0.998   0.239   0.0013  11.00  12.03
4    1 334117 416263
4    2 332630 414557
4    3 329817 411057
4    4 327716 408576
4    5 325929 405868
4    6 327902 408487
4    7 329971 411098
4    8 332202 413838
4    9 334295 416343
4   10 325921 405900
1 14 12 10 17 20 31 96    2    0 305.70 306.76 261.22 251.22 191.20 157.58 457768 554268 558657 648286
2    1 14 12 10 17 20 31 96   0.235   0.0014  10.96  12.05  -1.00 325929 405884
2    2 14 12 10 17 20 51 92   0.233   0.0013  10.90  12.00  -1.00 325897 405852
3 14 12 10 17 20 31 96 10 191.15 157.46 0.998 0.998   0.234   0.0015  10.99  12.14
4    1 334117 416343
4    2 332679 414686
4    3 329874 411090
4    4 327708 408511
4    5 325929 405884
4    6 327974 408535
4    7 330019 411122
4    8 332186 413797
4    9 334287 416473
4   10 325897 405852
1 14 12 10 17 21 24 24    2    0 305.70 306.77 261.23 251.20 191.20 157.58 457784 554276 558584 648311
2    1 14 12 10 17 21 24 24   0.231   0.0012  10.85  11.96  -1.00 325889 405836
2    2 14 12 10 17 21 44 04   0.241   0.0012  10.98  11.99  -1.00 325962 405852
3 14 12 10 17 21 24 24 10 190.94 157.42 0.998 0.997   0.234   0.0016  11.04  12.20
4    1 334142 416400
4    2 332743 414800
4    3 329874 411130
4    4 327692 408584
4    5 325889 405836
4    6 327942 408535
4    7 329995 411073
4    8 332250 413894
4    9 334319 416481
4   10 325962 405852
1 14 12 10 17 22 16 54    2    0 305.70 306.76 261.23 251.16 191.20 157.58 457743 554243 558657 648254
2    1 14 12 10 17 22 16 54   0.237   0.0014  11.01  12.10  -1.00 325929 405884
2    2 14 12 10 17 22 36 49   0.239   0.0014  11.04  12.11  -1.00 325946 405892
3 14 12 10 17 22 16 54 10 191.23 157.44 0.998 0.997   0.233   0.0017  11.06  12.25
4    1 334190 416489
4    2 332784 414913
4    3 329817 411162
4    4 327700 408616
4    5 325929 405884
4    6 327974 408471
4    7 330011 411219
4    8 332258 413959
4    9 334319 416489
4   10 325946 405892
1 14 12 10 17 23 08 93    2    0 305.70 306.77 261.24 251.18 191.20 157.58 457759 554268 558689 648359
2    1 14 12 10 17 23 08 93   0.248   0.0013  11.13  12.07  -1.00 326002 405884
2    2 14 12 10 17 23 28 79   0.238   0.0015  11.07  12.16  -1.00 325970 405941
3 14 12 10 17 23 08 93 10 191.35 157.57 0.997 0.997   0.229   0.0017  11.00  12.24
4    1 334125 416513
4    2 332808 415002
4    3 329801 411098
4    4 327716 408608
4    5 326002 405884
4    6 327958 408543
4    7 330052 411251
4    8 332274 413991
4    9 334327 416473
4   10 325970 405941
1 14 12 10 17 24 01 12    2    0 305.70 306.77 261.24 251.23 191.20 157.58 457776 554235 558673 648278
2    1 14 12 10 17 24 01 12   0.225   0.0018  11.00  12.32  -1.00 325946 405997
2    2 14 12 10 17 24 21 00   0.235   0.0014  10.98  12.09  -1.00 325938 405860
3 14 12 10 17 24 01 12 10 191.19 157.59 0.998 0.997   0.233   0.0016  11.01  12.18
4    1 334166 416448
4    2 332759 414969
4    3 329793 411146
4    4 327732 408616
4    5 325946 405997
4    6 327991 408568
4    7 330060 411243
4    8 332274 413910
4    9 334279 416448
4   10 325938 405860
1 14 12 10 17 24 53 61    2    0 305.70 306.77 261.25 251.29 191.20 157.58 457832 554276 558689 648286
2    1 14 12 10 17 24 53 61   0.220   0.0015  10.81  12.13  -1.00 325905 405925
2    2 14 12 10 17 25 13 56   0.227   0.0015  10.89  12.12  -1.00 325946 405917
3 14 12 10 17 24 53 61 10 191.04 157.48 0.998 0.997   0.231   0.0016  10.99  12.18
4    1 334125 416400
4    2 332743 414961
4    3 329850 411138
4    4 327764 408608
4    5 325905 405925
4    6 327983 408576
4    7 330027 411211
4    8 332234 413959
4    9 334271 416489
4   10 325946 405917
1 14 12 10 17 25 46 01    2    0 305.70 306.77 261.26 251.36 191.20 157.58 457784 554308 558632 648311
2    1 14 12 10 17 25 46 01   0.240   0.0013  11.00  12.04  -1.00 325954 405900
2    2 14 12 10 17 26 05 80   0.235   0.0014  10.97  12.08  -1.00 325938 405925
3 14 12 10 17 25 46 01 10 191.15 157.46 0.997 0.996   0.231   0.0015  10.96  12.15
4    1 334142 416465
4    2 332800 414961
4    3 329858 411114
4    4 327724 408608
4    5 325954 405900
4    6 327966 408543
4    7 329995 411170
4    8 332177 413805
4    9 334198 416376
4   10 325938 405925
1 14 12 10 17 26 38 09    2    0 305.70 306.78 261.26 251.40 191.20 157.58 457776 554292 558624 648359
2    1 14 12 10 17 26 38 09   0.236   0.0014  11.00  12.10  -1.00 325946 405917
2    2 14 12 10 17 26 58 00   0.234   0.0014  10.97  12.10  -1.00 325929 405917
3 14 12 10 17 26 38 09 10 191.13 157.58 0.997 0.996   0.231   0.0016  10.99  12.17
4    1 334117 416489
4    2 332784 415026
4    3 329842 411130
4    4 327748 408608
4    5 325946 405917
4    6 327958 408584
4    7 330011 411170
4    8 332218 413813
4    9 334255 416408
4   10 325929 405917
1 14 12 10 17 27 30 19    2    0 305.70 306.77 261.27 251.46 191.20 157.58 457800 554260 558689 648294
2    1 14 12 10 17 27 30 19   0.242   0.0014  11.06  12.07  -1.00 325994 405860
