0 1 020 4.16 06 06 09
0 2 13 11 05 191.710 156.520 290.000  -0.005  -0.001 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
4    8 338565 420911
4    9 342025 425349
4   10 329246 408141
1 13 11 05 17 53 06 30    2    0 305.76 307.04 272.53 264.64 191.80 156.54 464711 559820 565639 652802
2    1 13 11 05 17 53 06 30   0.306   0.0063  13.88  15.36  -1.00 328818 407227
2    2 13 11 05 17 53 26 18   0.298   0.0073  14.14  15.93  -1.00 328955 407567
3 13 11 05 17 53 06 30 10 191.57 155.68 0.954 0.939   0.265   0.0089  14.31  16.78
4    1 339689 422099
4    2 334953 415084
4    3 331509 410501
4    4 330329 409482
4    5 328818 407227
4    6 331728 412037
4    7 333764 414364
4    8 337951 419659
4    9 341629 424912
4   10 328955 407567
1 13 11 05 17 53 58 26    2    0 305.76 307.04 272.53 264.66 191.80 156.54 464711 559739 565526 652818
2    1 13 11 05 17 53 58 26   0.270   0.0050  12.97  14.54  -1.00 328349 406662
2    2 13 11 05 17 54 17 98   0.274   0.0062  13.45  15.23  -1.00 328600 407074
3 13 11 05 17 53 58 26 10 191.65 156.56 0.975 0.961   0.267   0.0055  13.12  14.84
4    1 338226 419376
4    2 335268 415601
4    3 332204 411762
4    4 329949 408812
4    5 328349 406662
4    6 331776 412101
4    7 334379 415383
4    8 337151 418648
4    9 339568 421453
4   10 328600 407074
1 13 11 05 17 54 50 10    2    0 305.76 307.04 272.53 264.73 191.80 156.54 464638 559763 565591 652835
2    1 13 11 05 17 54 50 10   0.308   0.0085  14.71  16.66  -1.00 329190 407947
2    2 13 11 05 17 55 09 81   0.297   0.0073  14.15  15.97  -1.00 328899 407535
3 13 11 05 17 54 50 10 10 193.03 157.68 0.942 0.899   0.265   0.0048  12.84  14.41
4    1 338355 419570
4    2 335009 415019
4    3 332229 411544
4    4 329497 408092
4    5 329190 407947
4    6 332075 412602
4    7 336141 418543
4    8 337733 419594
4    9 339560 421437
4   10 328899 407535
1 13 11 05 17 55 41 86    2    0 305.76 307.04 272.53 264.63 191.80 156.54 464598 559771 565534 652794
2    1 13 11 05 17 55 41 86   0.317   0.0033  12.92  13.63  -1.00 328212 406161
2    2 13 11 05 17 56 01 88   0.314   0.0049  13.46  14.55  -1.00 328495 406710
3 13 11 05 17 55 41 86 10 190.48 154.03 0.975 0.963   0.253   0.0111  14.99  18.08
4    1 340287 423110
4    2 336779 418317
4    3 332730 412392
4    4 329408 407882
4    5 328212 406161
4    6 331954 412465
4    7 335526 417331
4    8 338695 421340
4    9 340214 422859
4   10 328495 406710
1 13 11 05 17 56 34 21    2    0 305.76 307.02 272.52 264.65 191.80 156.54 464695 559731 565542 652923
2    1 13 11 05 17 56 34 21   0.260   0.0026  11.94  13.06  -1.00 327799 405773
2    2 13 11 05 17 56 53 92   0.270   0.0028  12.17  13.25  -1.00 327921 405886
3 13 11 05 17 56 34 21 10 189.60 154.03 0.988 0.979   0.266   0.0103  14.84  17.61
4    1 339180 421041
4    2 337216 419093
4    3 333094 413047
4    4 329966 408909
4    5 327799 405773
4    6 330798 410315
4    7 334961 416417
4    8 338137 420564
4    9 339867 422051
4   10 327921 405886
1 13 11 05 17 57 25 88    2    0 305.76 307.02 272.52 264.66 191.80 156.54 464671 559723 565526 652907
2    1 13 11 05 17 57 25 88   0.271   0.0018  11.81  12.63  -1.00 327711 405506
2    2 13 11 05 17 57 45 76   0.272   0.0017  11.76  12.55  -1.00 327686 405457
3 13 11 05 17 57 25 88 10 189.95 154.33 0.975 0.961   0.263   0.0084  14.12  16.51
4    1 337539 418333
4    2 335793 416571
4    3 332762 412635
4    4 329650 408302
4    5 327711 405506
4    6 330580 410170
4    7 334168 415035
4    8 338048 420362
4    9 339907 422091
4   10 327686 405457
1 13 11 05 17 58 18 12    2    0 305.75 307.02 272.52 264.54 191.80 156.54 464703 559650 565566 652883
2    1 13 11 05 17 58 18 12   0.259   0.0026  11.94  13.06  -1.00 327816 405676
2    2 13 11 05 17 58 38 09   0.256   0.0027  11.95  13.14  -1.00 327824 405724
3 13 11 05 17 58 18 12 10 190.25 154.90 0.982 0.971   0.262   0.0078  13.91  16.18
4    1 337531 418349
4    2 336076 417161
4    3 333740 414292
4    4 330176 409369
4    5 327816 405676
4    6 330548 410186
4    7 334144 415060
4    8 337660 419618
4    9 339923 422164
4   10 327824 405724
1 13 11 05 17 59 10 24    2    0 305.76 307.02 272.52 264.57 191.80 156.54 464663 559795 565574 652859
2    1 13 11 05 17 59 10 24   0.281   0.0037  12.61  13.76  -1.00 328131 406241
2    2 13 11 05 17 59 30 01   0.293   0.0040  12.88  13.99  -1.00 328276 406379
3 13 11 05 17 59 10 24 10 192.08 156.51 0.948 0.901   0.253   0.0039  12.35  13.84
4    1 336149 415835
4    2 334637 414461
4    3 333651 413960
4    4 331841 412158
4    5 328131 406241
4    6 330588 410194
4    7 334322 415439
4    8 337426 419529
4    9 339746 422043
4   10 328276 406379
1 13 11 05 18 00 02 11    2    0 305.76 307.02 272.52 264.62 191.80 156.54 464727 559803 565550 652948
2    1 13 11 05 18 00 02 11   0.284   0.0072  13.94  15.85  -1.00 328899 407486
2    2 13 11 05 18 00 21 88   0.283   0.0056  13.35  14.92  -1.00 328591 406936
3 13 11 05 18 00 02 11 10 192.63 157.58 0.913 0.866   0.249   0.0039  12.29  13.81
4    1 336165 416135
4    2 333748 413144
4    3 331404 410347
4    4 329424 407963
4    5 328899 407486
4    6 330911 410630
4    7 334678 416151
4    8 337757 419844
4    9 339834 421970
4   10 328591 406936
