0 1 020 4.16 06 06 09
0 2 13 11 05 191.706 156.530 290.000  -0.005   0.000 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
2    1 13 11 05 03 12 37 96   0.532   0.0020  15.10  13.36  -1.00 329893 406144
2    2 13 11 05 03 12 57 87   0.533   0.0017  15.02  13.21  -1.00 329852 406055
3 13 11 05 03 12 37 96 10 192.18 156.80 1.000 0.999   0.517   0.0012  14.63  12.85
4    1 341693 417460
4    2 338759 414712
4    3 335567 411835
4    4 332673 409103
4    5 329893 406144
4    6 332770 409499
4    7 335486 412101
4    8 338695 414938
4    9 341693 417743
4   10 329852 406055
1 13 11 05 03 13 30 15    2    0 305.78 306.95 276.37 265.51 191.78 156.53 467087 562212 567951 655324
2    1 13 11 05 03 13 30 15   0.534   0.0015  14.96  13.09  -1.00 329852 405999
2    2 13 11 05 03 13 50 11   0.536   0.0018  15.10  13.28  -1.00 329925 406112
3 13 11 05 03 13 30 15 10 192.05 156.65 1.000 0.999   0.511   0.0016  14.71  13.09
4    1 341734 417589
4    2 338768 414761
4    3 335623 411835
4    4 332673 409070
4    5 329852 405999
4    6 332487 409022
4    7 335567 412190
4    8 338735 414995
4    9 341734 417913
4   10 329925 406112
1 13 11 05 03 14 22 44    2    0 305.78 306.94 276.33 265.47 191.78 156.53 467047 562204 567918 655316
2    1 13 11 05 03 14 22 44   0.533   0.0016  14.99  13.15  -1.00 329844 406047
2    2 13 11 05 03 14 42 47   0.543   0.0016  15.08  13.12  -1.00 329893 406031
3 13 11 05 03 14 22 44 10 192.02 156.64 0.999 1.000   0.519   0.0015  14.77  13.04
4    1 341847 417630
4    2 338856 414817
4    3 335599 411818
4    4 332665 409086
4    5 329844 406047
4    6 332576 409135
4    7 335357 411802
4    8 338711 414954
4    9 341726 417767
4   10 329893 406031
1 13 11 05 03 15 14 88    2    0 305.78 306.94 276.29 265.42 191.78 156.53 467023 562042 567846 655162
2    1 13 11 05 03 15 14 88   0.526   0.0021  15.07  13.42  -1.00 329885 406064
2    2 13 11 05 03 15 34 64   0.524   0.0019  14.97  13.29  -1.00 329836 405991
3 13 11 05 03 15 14 88 10 191.87 156.77 0.999 1.000   0.524   0.0015  14.84  13.07
4    1 341920 417719
4    2 338986 415027
4    3 335680 411891
4    4 332697 409111
4    5 329885 406064
4    6 332463 409014
4    7 335357 411891
4    8 338662 414760
4    9 341726 417646
4   10 329836 405991
1 13 11 05 03 16 07 08    2    0 305.78 306.94 276.24 265.38 191.78 156.53 466999 562172 567902 655122
2    1 13 11 05 03 16 07 08   0.540   0.0016  15.06  13.15  -1.00 329877 406072
2    2 13 11 05 03 16 26 91   0.551   0.0015  15.17  13.13  -1.00 329933 406063
3 13 11 05 03 16 07 08 10 192.13 156.42 0.999 1.000   0.523   0.0014  14.77  12.98
4    1 341920 417622
4    2 338953 414930
4    3 335801 412020
4    4 332722 409127
4    5 329877 406072
4    6 332487 408973
4    7 335373 411826
4    8 338687 414777
4    9 341677 417622
4   10 329933 406063
1 13 11 05 03 16 59 48    2    0 305.78 306.94 276.20 265.30 191.78 156.53 466974 562034 567813 655154
2    1 13 11 05 03 16 59 48   0.530   0.0021  15.11  13.40  -1.00 329901 406104
2    2 13 11 05 03 17 19 19   0.532   0.0021  15.14  13.41  -1.00 329917 406112
3 13 11 05 03 16 59 48 10 192.02 156.90 0.999 1.000   0.527   0.0013  14.77  12.91
4    1 341968 417670
4    2 338970 414954
4    3 335777 411932
4    4 332811 409192
4    5 329901 406104
4    6 332487 409078
4    7 335429 411826
4    8 338711 414720
4    9 341653 417533
4   10 329917 406112
1 13 11 05 03 17 51 88    2    0 305.78 306.94 276.16 265.23 191.78 156.53 466918 562002 567838 655090
2    1 13 11 05 03 17 51 88   0.548   0.0020  15.29  13.38  -1.00 329957 406088
2    2 13 11 05 03 18 12 12   0.542   0.0022  15.29  13.49  -1.00 329957 406152
3 13 11 05 03 17 51 88 10 192.29 156.86 0.999 1.000   0.526   0.0013  14.76  12.91
4    1 341992 417638
4    2 339050 414987
4    3 335809 412045
4    4 332843 409240
4    5 329957 406088
4    6 332520 408989
4    7 335397 411875
4    8 338743 414752
4    9 341661 417533
4   10 329957 406152
